Red meat and poultry production (million pounds),,,,,,,,,,,,,,,
Mar-1986,"1,860.0",43.0,"1,198.0",32.0,"3,133.4","1,798.0",39.0,"1,166.0",31.0,"3,033.0","1,115.8",,193.6,"1,366.0","4,399.0"
Feb-1986,"1,769.0",40.0,"1,106.0",27.0,"2,941.6","1,713.0",36.0,"1,076.0",26.0,"2,852.0","1,087.0",,175.0,"1,310.6","4,162.6"
Jan-1986,"2,140.0",46.0,"1,266.0",31.0,"3,481.9","2,070.0",41.0,"1,230.0",30.0,"3,371.0","1,211.3",,187.5,"1,453.7","4,824.7"
Dec-1985,"1,855.0",46.0,"1,215.0",30.0,"3,145.4","1,774.0",41.0,"1,171.0",29.0,"3,016.0","1,094.1",,210.7,"1,356.0","4,372.0"
Nov-1985,"1,812.0",42.0,"1,241.0",28.0,"3,123.0","1,735.0",37.0,"1,206.0",27.0,"3,005.0",997.8,,282.5,"1,319.6","4,324.6"
Oct-1985,"2,108.0",46.0,"1,358.0",33.0,"3,544.0","2,029.0",41.0,"1,321.0",32.0,"3,422.0","1,252.5",,341.5,"1,644.2","5,066.2"
Sep-1985,"1,985.0",42.0,"1,196.0",28.0,"3,251.6","1,917.0",37.0,"1,163.0",27.0,"3,144.0","1,081.9",,288.3,"1,415.4","4,559.4"
Aug-1985,"2,123.0",41.0,"1,210.0",29.0,"3,402.0","2,051.0",36.0,"1,177.0",28.0,"3,291.0","1,198.4",,295.2,"1,540.5","4,831.5"
Jul-1985,"2,059.0",43.0,"1,147.0",28.0,"3,276.7","1,993.0",39.0,"1,114.0",27.0,"3,173.0","1,203.3",,271.1,"1,522.5","4,695.5"
Jun-1985,"1,898.0",37.0,"1,125.0",24.0,"3,084.6","1,836.0",33.0,"1,095.0",24.0,"2,988.0","1,094.8",,238.5,"1,376.3","4,364.3"
May-1985,"2,089.0",42.0,"1,329.0",29.0,"3,487.9","2,020.0",37.0,"1,295.0",28.0,"3,380.0","1,221.5",,212.5,"1,486.7","4,866.7"
Apr-1985,"1,936.0",41.0,"1,289.0",30.0,"3,295.1","1,868.0",36.0,"1,254.0",29.0,"3,187.0","1,196.6",,177.3,"1,431.1","4,618.1"
Mar-1985,"1,858.0",40.0,"1,232.0",33.0,"3,162.1","1,791.0",35.0,"1,198.0",32.0,"3,057.0","1,082.5",,176.4,"1,311.7","4,368.7"
Feb-1985,"1,768.0",37.0,"1,105.0",28.0,"2,938.3","1,706.0",33.0,"1,074.0",27.0,"2,839.0",991.5,,148.0,"1,189.5","4,028.5"
Jan-1985,"2,066.0",42.0,"1,281.0",32.0,"3,420.5","1,989.0",37.0,"1,243.0",31.0,"3,300.0","1,154.9",,157.7,"1,377.7","4,677.7"
Dec-1984,"1,830.0",39.0,"1,220.0",30.0,"3,119.0","1,745.0",33.0,"1,177.0",30.0,"2,984.0",995.4,,182.8,"1,230.0","4,214.0"
Nov-1984,"1,924.0",43.0,"1,326.0",30.0,"3,323.9","1,840.0",37.0,"1,286.0",30.0,"3,192.0","1,018.7",,271.7,"1,338.4","4,530.4"
Oct-1984,"2,182.0",46.0,"1,411.0",33.0,"3,671.7","2,095.0",39.0,"1,372.0",32.0,"3,537.0","1,212.8",,320.8,"1,595.6","5,132.6"
Sep-1984,"1,904.0",39.0,"1,139.0",29.0,"3,110.8","1,831.0",32.0,"1,106.0",28.0,"2,997.0","1,026.1",,255.4,"1,330.3","4,327.3"
Aug-1984,"2,112.0",44.0,"1,175.0",31.0,"3,362.0","2,039.0",38.0,"1,140.0",30.0,"3,248.0","1,210.5",,279.6,"1,544.9","4,792.9"
Jul-1984,"1,936.0",40.0,"1,041.0",28.0,"3,044.7","1,865.0",35.0,"1,009.0",27.0,"2,936.0","1,102.7",,242.3,"1,395.6","4,331.6"
Jun-1984,"1,984.0",38.0,"1,156.0",27.0,"3,204.9","1,917.0",31.0,"1,123.0",27.0,"3,098.0","1,113.5",,223.6,"1,393.2","4,491.2"
May-1984,"2,060.0",39.0,"1,281.0",31.0,"3,410.6","1,989.0",33.0,"1,246.0",31.0,"3,299.0","1,184.4",,202.6,"1,442.4","4,741.4"
Apr-1984,"1,776.0",36.0,"1,233.0",34.0,"3,079.4","1,708.0",31.0,"1,200.0",33.0,"2,971.0","1,052.2",,163.1,"1,263.7","4,234.7"
Mar-1984,"1,937.0",40.0,"1,338.0",35.0,"3,348.9","1,864.0",34.0,"1,301.0",34.0,"3,233.0","1,069.0",,155.1,"1,269.6","4,502.6"
Feb-1984,"1,859.0",36.0,"1,165.0",32.0,"3,092.2","1,785.0",32.0,"1,129.0",32.0,"2,977.0",984.5,,139.0,"1,167.5","4,144.5"
Jan-1984,"1,914.0",39.0,"1,235.0",31.0,"3,219.1","1,830.0",33.0,"1,194.0",30.0,"3,087.0","1,028.9",,138.1,"1,209.8","4,296.8"
Dec-1983,"1,965.0",37.0,"1,350.0",30.0,"3,383.2","1,876.0",32.0,"1,301.0",30.0,"3,238.0",941.6,,189.0,"1,171.8","4,409.8"
Nov-1983,"1,935.0",39.0,"1,468.0",29.0,"3,471.8","1,839.0",32.0,"1,421.0",28.0,"3,321.0",937.2,,288.7,"1,266.1","4,587.1"
Oct-1983,"2,062.0",41.0,"1,388.0",32.0,"3,523.1","1,966.0",33.0,"1,347.0",31.0,"3,376.0","1,038.4",,281.3,"1,368.1","4,744.1"
Sep-1983,"2,090.0",38.0,"1,273.0",33.0,"3,434.7","2,004.0",32.0,"1,236.0",32.0,"3,304.0","1,044.7",,263.7,"1,357.4","4,661.4"
Aug-1983,"2,118.0",39.0,"1,250.0",33.0,"3,439.7","2,036.0",32.0,"1,213.0",32.0,"3,314.0","1,113.1",,271.8,"1,435.1","4,749.1"
Jul-1983,"1,807.0",33.0,"1,134.0",28.0,"3,002.3","1,735.0",28.0,"1,103.0",27.0,"2,893.0",977.4,,224.8,"1,246.8","4,139.8"
Jun-1983,"1,970.0",34.0,"1,266.0",29.0,"3,298.7","1,892.0",28.0,"1,230.0",28.0,"3,179.0","1,125.2",,231.3,"1,408.9","4,587.9"
May-1983,"1,859.0",32.0,"1,243.0",30.0,"3,163.3","1,783.0",27.0,"1,208.0",29.0,"3,047.0","1,096.3",,183.7,"1,329.4","4,376.4"
Apr-1983,"1,727.0",32.0,"1,262.0",30.0,"3,051.3","1,650.0",26.0,"1,227.0",29.0,"2,933.0","1,054.3",,166.5,"1,274.8","4,207.8"
Mar-1983,"1,892.0",37.0,"1,303.0",36.0,"3,268.7","1,808.0",32.0,"1,265.0",36.0,"3,141.0","1,106.2",,182.7,"1,349.0","4,490.0"
Feb-1983,"1,707.0",32.0,"1,021.0",27.0,"2,786.7","1,632.0",26.0,988.0,26.0,"2,673.0",933.6,,135.5,"1,116.6","3,789.6"
Jan-1983,"1,928.0",34.0,"1,159.0",30.0,"3,150.7","1,837.0",28.0,"1,119.0",29.0,"3,013.0","1,021.0",,144.1,"1,223.1","4,236.1"
Dec-1982,,,,,,,,,,,971.3,,192.7,"1,222.8",
Nov-1982,,,,,,,,,,,929.8,,289.8,"1,269.6",
Oct-1982,,,,,,,,,,,"1,010.4",,276.6,"1,337.3",
Sep-1982,,,,,,,,,,,"1,043.1",,267.7,"1,363.9",
Aug-1982,,,,,,,,,,,"1,057.2",,265.4,"1,376.7",
Jul-1982,,,,,,,,,,,"1,029.5",,228.3,"1,305.7",
Jun-1982,,,,,,,,,,,"1,085.2",,216.2,"1,360.4",
May-1982,,,,,,,,,,,"1,006.1",,164.3,"1,223.1",
Apr-1982,,,,,,,,,,,"1,018.0",,147.4,"1,226.7",
Mar-1982,,,,,,,,,,,"1,052.4",,154.9,"1,267.4",
Feb-1982,,,,,,,,,,,902.2,,123.3,"1,074.8",
Jan-1982,,,,,,,,,,,933.8,,132.2,"1,117.0",
Dec-1981,,,,,,,,,,,973.5,,204.2,"1,232.2",
Nov-1981,,,,,,,,,,,872.6,,278.3,"1,193.1",
Oct-1981,,,,,,,,,,,"1,033.7",,290.1,"1,375.9",
Sep-1981,,,,,,,,,,,"1,039.7",,273.1,"1,365.1",
Aug-1981,,,,,,,,,,,"1,003.8",,261.7,"1,313.9",
Jul-1981,,,,,,,,,,,"1,037.4",,250.4,"1,335.3",
Jun-1981,,,,,,,,,,,"1,042.8",,225.7,"1,323.4",
May-1981,,,,,,,,,,,"1,025.8",,178.3,"1,259.3",
Apr-1981,,,,,,,,,,,"1,027.0",,149.3,"1,238.1",
Mar-1981,,,,,,,,,,,"1,010.7",,136.4,"1,210.1",
Feb-1981,,,,,,,,,,,864.2,,119.6,"1,036.8",
Jan-1981,,,,,,,,,,,974.6,,142.1,"1,175.1",
Dec-1980,,,,,,,,,,,940.4,,190.8,"1,182.1",
Nov-1980,,,,,,,,,,,796.1,,246.3,"1,084.0",
Oct-1980,,,,,,,,,,,997.2,,276.8,"1,332.4",
Sep-1980,,,,,,,,,,,941.8,,244.3,"1,234.0",
Aug-1980,,,,,,,,,,,913.8,,227.0,"1,178.3",
Jul-1980,,,,,,,,,,,936.3,,240.3,"1,216.2",
Jun-1980,,,,,,,,,,,976.2,,206.9,"1,231.5",
May-1980,,,,,,,,,,,"1,006.7",,178.4,"1,239.2",
Apr-1980,,,,,,,,,,,"1,009.0",,143.0,"1,215.5",
Mar-1980,,,,,,,,,,,920.0,,127.9,"1,105.8",
Feb-1980,,,,,,,,,,,872.7,,109.4,"1,044.6",
Jan-1980,,,,,,,,,,,962.0,,141.2,"1,169.3",
Dec-1979,,,,,,,,,,,807.2,,165.5,"1,019.5",
Nov-1979,,,,,,,,,,,820.1,,261.9,"1,128.1",
Oct-1979,,,,,,,,,,,"1,038.0",,297.5,"1,398.7",
Sep-1979,,,,,,,,,,,863.2,,233.0,"1,148.1",
Aug-1979,,,,,,,,,,,"1,026.3",,267.7,"1,354.1",
Jul-1979,,,,,,,,,,,965.3,,219.2,"1,233.9",
Jun-1979,,,,,,,,,,,940.7,,195.9,"1,187.9",
May-1979,,,,,,,,,,,"1,013.5",,157.3,"1,224.8",
Apr-1979,,,,,,,,,,,889.8,,112.3,"1,059.2",
Mar-1979,,,,,,,,,,,905.0,,95.0,"1,056.0",
Feb-1979,,,,,,,,,,,749.1,,77.2,872.9,
Jan-1979,,,,,,,,,,,897.3,,99.3,"1,049.9",
Dec-1978,,,,,,,,,,,767.3,,156.3,970.4,
Nov-1978,,,,,,,,,,,779.1,,248.9,"1,073.8",
Oct-1978,,,,,,,,,,,896.4,,271.2,"1,220.2",
Sep-1978,,,,,,,,,,,834.0,,230.9,"1,110.8",
Aug-1978,,,,,,,,,,,930.8,,248.9,"1,225.2",
Jul-1978,,,,,,,,,,,801.7,,199.9,"1,044.3",
Jun-1978,,,,,,,,,,,874.9,,189.5,"1,118.7",
May-1978,,,,,,,,,,,902.6,,129.3,"1,080.2",
Apr-1978,,,,,,,,,,,769.1,,80.8,893.8,
Mar-1978,,,,,,,,,,,830.0,,86.3,972.2,
Feb-1978,,,,,,,,,,,715.7,,59.7,824.5,
Jan-1978,,,,,,,,,,,781.4,,81.8,913.3,
Dec-1977,,,,,,,,,,,753.2,,148.2,950.1,
Nov-1977,,,,,,,,,,,719.8,,246.8,"1,010.9",
Oct-1977,,,,,,,,,,,775.5,,250.3,"1,073.4",
Sep-1977,,,,,,,,,,,808.2,,238.2,"1,095.4",
Aug-1977,,,,,,,,,,,870.4,,244.4,"1,159.1",
Jul-1977,,,,,,,,,,,745.5,,189.6,971.4,
Jun-1977,,,,,,,,,,,843.7,,176.5,"1,075.2",
May-1977,,,,,,,,,,,809.9,,110.0,969.7,
Apr-1977,,,,,,,,,,,744.9,,78.9,877.1,
Mar-1977,,,,,,,,,,,783.2,,80.3,918.9,
Feb-1977,,,,,,,,,,,659.2,,58.7,763.9,
Jan-1977,,,,,,,,,,,713.8,,70.5,831.5,
Dec-1976,,,,,,,,,,,716.8,,146.5,908.2,
Nov-1976,,,,,,,,,,,699.2,,261.5,"1,001.9",
Oct-1976,,,,,,,,,,,769.5,,256.6,"1,072.5",
Sep-1976,,,,,,,,,,,800.3,,252.8,"1,101.9",
Aug-1976,,,,,,,,,,,805.2,,243.8,"1,093.2",
Jul-1976,,,,,,,,,,,766.0,,213.9,"1,024.7",
Jun-1976,,,,,,,,,,,825.9,,182.2,"1,055.8",
May-1976,,,,,,,,,,,745.4,,106.5,891.7,
Apr-1976,,,,,,,,,,,742.5,,79.9,876.1,
Mar-1976,,,,,,,,,,,771.9,,68.6,890.4,
Feb-1976,,,,,,,,,,,632.3,,61.7,739.0,
Jan-1976,,,,,,,,,,,712.3,,76.3,836.0,
Dec-1975,,,,,,,,,,,691.4,,157.5,893.5,
Nov-1975,,,,,,,,,,,560.7,,220.2,817.7,
Oct-1975,,,,,,,,,,,739.8,,257.5,"1,045.6",
Sep-1975,,,,,,,,,,,684.9,,229.0,957.5,
Aug-1975,,,,,,,,,,,680.5,,203.3,922.7,
Jul-1975,,,,,,,,,,,714.2,,193.2,947.5,
Jun-1975,,,,,,,,,,,683.1,,138.4,866.5,
May-1975,,,,,,,,,,,690.1,,81.9,814.1,
Apr-1975,,,,,,,,,,,688.3,,68.7,806.5,
Mar-1975,,,,,,,,,,,616.6,,54.4,717.7,
Feb-1975,,,,,,,,,,,570.2,,47.1,658.7,
Jan-1975,,,,,,,,,,,646.2,,64.9,761.6,
Dec-1974,,,,,,,,,,,589.6,,119.9,751.2,
Nov-1974,,,,,,,,,,,524.5,,215.3,785.1,
Oct-1974,,,,,,,,,,,686.9,,261.1,996.1,
Sep-1974,,,,,,,,,,,621.1,,220.2,881.6,
Aug-1974,,,,,,,,,,,713.8,,237.2,"1,001.8",
Jul-1974,,,,,,,,,,,720.1,,213.1,979.8,
Jun-1974,,,,,,,,,,,687.2,,159.7,898.5,
May-1974,,,,,,,,,,,745.0,,113.2,916.9,
Apr-1974,,,,,,,,,,,672.4,,80.1,807.8,
Mar-1974,,,,,,,,,,,641.9,,58.9,754.4,
Feb-1974,,,,,,,,,,,601.2,,59.8,708.0,
Jan-1974,,,,,,,,,,,713.1,,97.3,862.8,
Dec-1973,,,,,,,,,,,588.2,,174.6,804.9,
Nov-1973,,,,,,,,,,,641.7,,269.9,958.4,
Oct-1973,,,,,,,,,,,733.5,,272.6,"1,059.8",
Sep-1973,,,,,,,,,,,609.5,,212.3,864.6,
Aug-1973,,,,,,,,,,,703.5,,234.1,977.5,
Jul-1973,,,,,,,,,,,673.6,,185.0,903.2,
Jun-1973,,,,,,,,,,,680.0,,142.9,876.8,
May-1973,,,,,,,,,,,712.1,,84.2,847.5,
Apr-1973,,,,,,,,,,,594.4,,55.8,701.2,
Mar-1973,,,,,,,,,,,621.4,,45.3,716.6,
Feb-1973,,,,,,,,,,,566.2,,41.6,657.6,
Jan-1973,,,,,,,,,,,662.1,,69.7,781.2,
Dec-1972,,,,,,,,,,,582.2,,152.7,777.3,
Nov-1972,,,,,,,,,,,618.1,,261.3,930.0,
Oct-1972,,,,,,,,,,,694.8,,282.7,"1,028.4",
Sep-1972,,,,,,,,,,,636.1,,241.7,921.3,
Aug-1972,,,,,,,,,,,738.6,,254.6,"1,041.8",
Jul-1972,,,,,,,,,,,636.6,,186.9,862.3,
Jun-1972,,,,,,,,,,,713.1,,149.0,913.1,
May-1972,,,,,,,,,,,715.4,,74.6,837.6,
Apr-1972,,,,,,,,,,,623.7,,44.3,718.2,
Mar-1972,,,,,,,,,,,652.7,,45.8,748.3,
Feb-1972,,,,,,,,,,,596.1,,45.2,691.3,
Jan-1972,,,,,,,,,,,616.1,,57.6,725.1,
Dec-1971,,,,,,,,,,,600.7,,146.1,792.4,
Nov-1971,,,,,,,,,,,576.2,,242.9,868.7,
Oct-1971,,,,,,,,,,,624.5,,256.0,928.8,
Sep-1971,,,,,,,,,,,630.9,,235.8,919.4,
Aug-1971,,,,,,,,,,,673.7,,221.2,938.2,
Jul-1971,,,,,,,,,,,619.4,,177.1,839.6,
Jun-1971,,,,,,,,,,,654.3,,127.7,834.4,
May-1971,,,,,,,,,,,592.1,,63.1,699.5,
Apr-1971,,,,,,,,,,,599.4,,47.7,698.3,
Mar-1971,,,,,,,,,,,616.5,,42.7,711.4,
Feb-1971,,,,,,,,,,,530.3,,31.5,609.1,
Jan-1971,,,,,,,,,,,563.1,,49.9,662.1,
Dec-1970,,,,,,,,,,,561.5,,149.2,761.8,
Nov-1970,,,,,,,,,,,512.9,,244.9,804.7,
Oct-1970,,,,,,,,,,,633.4,,276.9,963.9,
Sep-1970,,,,,,,,,,,613.5,,244.6,906.4,
Aug-1970,,,,,,,,,,,611.5,,212.0,871.4,
Jul-1970,,,,,,,,,,,657.0,,172.1,874.0,
Jun-1970,,,,,,,,,,,666.1,,109.5,827.2,
May-1970,,,,,,,,,,,601.4,,44.9,694.6,
Apr-1970,,,,,,,,,,,628.0,,27.6,706.8,
Mar-1970,,,,,,,,,,,573.1,,22.1,643.5,
Feb-1970,,,,,,,,,,,522.9,,22.2,585.0,
Jan-1970,,,,,,,,,,,580.1,,40.5,662.3,
Dec-1969,,,,,,,,,,,553.2,,147.4,740.2,
Nov-1969,,,,,,,,,,,461.3,,229.7,726.9,
Oct-1969,,,,,,,,,,,610.5,,266.5,927.6,
Sep-1969,,,,,,,,,,,578.0,,225.8,848.0,
Aug-1969,,,,,,,,,,,573.8,,185.3,797.4,
Jul-1969,,,,,,,,,,,568.4,,145.5,751.9,
Jun-1969,,,,,,,,,,,573.9,,85.4,703.3,
May-1969,,,,,,,,,,,562.7,,39.0,650.0,
Apr-1969,,,,,,,,,,,533.5,,21.0,599.5,
Mar-1969,,,,,,,,,,,482.6,,23.4,547.9,
Feb-1969,,,,,,,,,,,445.6,,21.3,505.9,
Jan-1969,,,,,,,,,,,540.7,,42.6,628.3,
Dec-1968,,,,,,,,,,,464.0,,162.0,670.0,
Nov-1968,,,,,,,,,,,425.7,,245.6,714.6,
Oct-1968,,,,,,,,,,,572.0,,277.2,898.0,
Sep-1968,,,,,,,,,,,502.8,,221.2,759.8,
Aug-1968,,,,,,,,,,,547.7,,194.0,782.2,
Jul-1968,,,,,,,,,,,550.9,,122.3,712.5,
Jun-1968,,,,,,,,,,,497.1,,69.5,600.3,
May-1968,,,,,,,,,,,532.2,,39.1,616.0,
Apr-1968,,,,,,,,,,,484.9,,25.9,556.2,
Mar-1968,,,,,,,,,,,448.8,,21.8,506.5,
Feb-1968,,,,,,,,,,,429.0,,25.1,494.0,
Jan-1968,,,,,,,,,,,483.9,,51.9,585.1,
Dec-1967,,,,,,,,,,,429.5,,177.3,650.6,
Nov-1967,,,,,,,,,,,449.3,,278.1,778.3,
Oct-1967,,,,,,,,,,,525.5,,286.3,867.4,
Sep-1967,,,,,,,,,,,503.7,,253.3,805.6,
Aug-1967,,,,,,,,,,,573.5,,246.0,865.5,
Jul-1967,,,,,,,,,,,488.1,,153.4,677.7,
Jun-1967,,,,,,,,,,,548.0,,102.4,697.4,
May-1967,,,,,,,,,,,552.0,,46.4,647.4,
Apr-1967,,,,,,,,,,,455.9,,25.2,529.7,
Mar-1967,,,,,,,,,,,472.0,,26.5,545.5,
Feb-1967,,,,,,,,,,,403.6,,24.8,472.3,
Jan-1967,,,,,,,,,,,474.9,,45.3,570.6,
Dec-1966,,,,,,,,,,,472.7,,174.1,692.8,
Nov-1966,,,,,,,,,,,435.3,,274.9,766.1,
Oct-1966,,,,,,,,,,,497.1,,271.9,821.8,
Sep-1966,,,,,,,,,,,515.4,,239.9,799.6,
Aug-1966,,,,,,,,,,,540.4,,196.4,778.3,
Jul-1966,,,,,,,,,,,465.2,,114.5,618.1,
Jun-1966,,,,,,,,,,,514.3,,79.5,636.3,
May-1966,,,,,,,,,,,469.7,,35.7,548.2,
Apr-1966,,,,,,,,,,,449.6,,20.5,509.5,
Mar-1966,,,,,,,,,,,439.4,,17.0,491.2,
Feb-1966,,,,,,,,,,,397.8,,18.1,453.3,
Jan-1966,,,,,,,,,,,407.0,,35.5,480.7,
Dec-1965,,,,,,,,,,,421.4,,152.5,620.0,
Nov-1965,,,,,,,,,,,398.9,,275.1,723.7,
Oct-1965,,,,,,,,,,,456.9,,262.1,768.2,
Sep-1965,,,,,,,,,,,469.8,,224.4,740.0,
Aug-1965,,,,,,,,,,,483.2,,163.6,684.0,
Jul-1965,,,,,,,,,,,467.3,,95.7,597.2,
Jun-1965,,,,,,,,,,,486.8,,54.7,576.3,
May-1965,,,,,,,,,,,433.1,,27.0,492.9,
Apr-1965,,,,,,,,,,,420.3,,15.6,470.4,
Mar-1965,,,,,,,,,,,407.7,,14.5,458.4,
Feb-1965,,,,,,,,,,,353.0,,13.7,400.7,
Jan-1965,,,,,,,,,,,396.0,,31.2,469.9,
Dec-1964,,,,,,,,,,,376.3,,143.0,568.8,
Nov-1964,,,,,,,,,,,339.3,,250.6,639.7,
Oct-1964,,,,,,,,,,,413.2,,258.3,731.2,
Sep-1964,,,,,,,,,,,419.9,,208.3,674.1,
Aug-1964,,,,,,,,,,,432.8,,145.6,616.7,
Jul-1964,,,,,,,,,,,436.0,,86.6,557.7,
Jun-1964,,,,,,,,,,,454.5,,52.6,544.9,
May-1964,,,,,,,,,,,423.0,,29.9,489.1,
Apr-1964,,,,,,,,,,,406.6,,18.0,462.0,
Mar-1964,,,,,,,,,,,371.2,,15.6,419.7,
Feb-1964,,,,,,,,,,,345.6,,12.5,385.5,
Jan-1964,,,,,,,,,,,391.8,,32.1,464.0,
Dec-1963,,,,,,,,,,,371.2,,142.1,561.7,
Nov-1963,,,,,,,,,,,326.3,,217.4,597.9,
Oct-1963,,,,,,,,,,,409.3,,251.8,718.6,
Sep-1963,,,,,,,,,,,390.4,,193.7,628.3,
Aug-1963,,,,,,,,,,,431.2,,137.7,610.2,
Jul-1963,,,,,,,,,,,444.2,,74.8,554.3,
Jun-1963,,,,,,,,,,,414.0,,42.0,489.2,
May-1963,,,,,,,,,,,417.2,,30.9,486.3,
Apr-1963,,,,,,,,,,,379.4,,16.7,428.3,
Mar-1963,,,,,,,,,,,343.5,,12.4,381.1,
Feb-1963,,,,,,,,,,,303.1,,13.2,341.5,
Jan-1963,,,,,,,,,,,377.5,,31.0,443.0,
Dec-1962,,,,,,,,,,,322.9,,128.0,492.1,
Nov-1962,,,,,,,,,,,342.3,,231.2,626.6,
Oct-1962,,,,,,,,,,,408.6,,237.2,705.4,
Sep-1962,,,,,,,,,,,343.5,,163.2,549.2,
Aug-1962,,,,,,,,,,,415.7,,121.5,574.6,
Jul-1962,,,,,,,,,,,397.0,,59.2,488.3,
Jun-1962,,,,,,,,,,,421.4,,44.5,499.0,
May-1962,,,,,,,,,,,427.8,,32.5,494.6,
Apr-1962,,,,,,,,,,,362.3,,19.2,411.3,
Mar-1962,,,,,,,,,,,339.5,,13.8,380.6,
Feb-1962,,,,,,,,,,,275.8,,12.6,308.4,
Jan-1962,,,,,,,,,,,304.0,,33.9,375.3,
Dec-1961,,,,,,,,,,,275.8,,138.0,452.8,
Nov-1961,,,,,,,,,,,306.0,,249.4,604.1,
Oct-1961,,,,,,,,,,,385.2,,248.3,688.8,
Sep-1961,,,,,,,,,,,373.0,,179.4,608.9,
Aug-1961,,,,,,,,,,,427.5,,143.6,615.1,
Jul-1961,,,,,,,,,,,412.4,,82.0,523.2,
Jun-1961,,,,,,,,,,,442.4,,72.8,548.4,
May-1961,,,,,,,,,,,421.3,,44.8,500.2,
Apr-1961,,,,,,,,,,,357.9,,22.4,407.4,
Mar-1961,,,,,,,,,,,331.7,,24.3,379.1,
Feb-1961,,,,,,,,,,,255.8,,16.1,293.3,
Jan-1961,,,,,,,,,,,297.8,,34.9,366.8,
Dec-1960,,,,,,,,,,,280.8,,125.1,445.5,
Nov-1960,,,,,,,,,,,285.9,,181.3,517.5,
Oct-1960,,,,,,,,,,,324.6,,192.3,572.1,
Sep-1960,,,,,,,,,,,341.4,,149.6,541.2,
Aug-1960,,,,,,,,,,,379.3,,109.5,530.2,
Jul-1960,,,,,,,,,,,323.6,,51.9,407.3,
Jun-1960,,,,,,,,,,,339.8,,46.0,414.2,
May-1960,,,,,,,,,,,331.7,,27.1,382.6,
Apr-1960,,,,,,,,,,,301.6,,16.2,335.4,
Mar-1960,,,,,,,,,,,283.6,,13.4,321.2,
Feb-1960,,,,,,,,,,,250.9,,14.0,293.6,
Jan-1960,,,,,,,,,,,255.9,,22.1,306.6,
,,,,,,,,,,,,,,,
"1/ Excludes slaughter on farms.
2/ Production in Federally inspected and other plants.
3/ Based on packers' dressed weights.
4/ Totals may not add due to rounding.",,,,,,,,,,,,,,,
"5/ Ready-to-cook.
6/ Includes geese, guineas, ostriches, emus, rheas, squab, and other poultry.
Source: USDA, National Agricultural Statistics Service, ""Livestock Slaughter"" and ""Poultry Slaughter.""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date run: 11/26/2019 10:13:54 AM,,,,,,,,,,,,,,,